Timestamp,EXH_L,Load,Fuel Filter Differential Pressure [kPa],Total_Fuel,Fuel_Rate,RPM,Oil Filter Differential Pressure [kPa],Coolant_Temp,Boost,EXH_R,Batt,Throttle Position [%],Oil_Press,SMH,Run Status,Cumulative Fuel Used Daily [L],Cumulative Idle Fuel Usage [L],Cumulative Idle Time [Hrs],Cumulative Max Fuel Usage [L],EVENT_STATS,DIAG_STATS,SMH_DIFF,MaxPower,RealPower,BSFC,Total_Fuel_DIFF,EXH_DIFF,Asset,Site
2021-07-01,449.875,41.75,,2782580.9572109375,,1802.6875,,,53.5625,406.75,,79.25000118091701,462.1666666666667,21491.197192944,,,,,,,,0.09000007199999042,1632.0,681.36,,170.10686187500445,44.625,SLM00575,Fernando de Noronha
2021-07-02,304.27777777777777,26.38888888888889,,2785239.3796775,,1799.0555555555557,,,20.11111111111111,301.3888888888889,,77.222223372923,469.80555555555554,21504.057203232,,,,,,,,0.7600006080000539,1632.0,430.6666666666667,,96.58053013886739,8.222222222222221,SLM00575,Fernando de Noronha
2021-07-03,306.5833333333333,26.291666666666668,,2787255.3273749477,,1796.3333333333333,,,19.479166666666668,303.0,,76.63333447525896,468.6458333333333,21524.0172192,,,,,,,,0.9600007680000999,1632.0,429.08,,96.62653338542441,7.083333333333333,SLM00575,Fernando de Noronha
2021-07-04,307.9,26.45,,2789378.607218438,,1795.675,,,19.4,304.1,,76.52000114023686,468.225,21545.977236768,,,,,,,,0.9600007680000999,1632.0,431.66400000000004,,96.95381362501067,5.4,SLM00575,Fernando de Noronha
2021-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-07-06,216.0,19.0,,2790411.19609,,1797.5,,,2.0,185.0,,75.6000011265278,671.5,21557.537246016,,,,,,,,0.0400000320005347,1632.0,310.08,,73.81549499975517,31.0,SLM00575,Fernando de Noronha
2021-07-07,385.9,33.3,,2791097.96409925,,1803.6,,,30.6,358.9,,78.2800011664629,480.6,21563.921251123196,,,,,,,,0.45600036480027484,1632.0,543.4559999999999,,127.04782312498428,27.0,SLM00575,Fernando de Noronha
2021-07-08,334.3333333333333,28.958333333333332,,2792975.121316302,,1802.5,,,22.8125,324.625,,78.05000116303563,479.9583333333333,21579.0172632,,,,,,,,0.9600007680000999,1632.0,472.59999999999997,,114.44950546875286,12.541666666666666,SLM00575,Fernando de Noronha
2021-07-09,360.8333333333333,30.625,,2795871.866887448,,1803.7708333333333,,,24.458333333333332,337.5833333333333,,78.43333450208108,475.4375,21603.0172824,,,,,,,,0.9600007680000999,1632.0,499.8,,118.60951333333894,25.25,SLM00575,Fernando de Noronha
2021-07-10,367.8333333333333,31.625,,2798757.9659929685,,1801.4583333333333,,,24.333333333333332,341.7916666666667,,78.26666783293088,476.25,21627.0173016,,,,,,,,0.9600007680000999,1632.0,516.12,,126.04232359374873,26.041666666666668,SLM00575,Fernando de Noronha
2021-07-11,404.8333333333333,34.958333333333336,,2802029.1517032813,,1799.125,,,33.4375,369.1666666666667,,77.95000116154552,474.5833333333333,21651.0173208,,,,,,,,0.9600007680000999,1632.0,570.52,,137.3985535937439,36.916666666666664,SLM00575,Fernando de Noronha
2021-07-12,347.4166666666667,29.666666666666668,,2804970.139253802,,1800.9583333333333,,,22.520833333333332,328.0416666666667,,77.6833344909052,475.7708333333333,21675.007339992,,,,,,,,0.9550007639998815,1632.0,484.16,,113.0496923958417,23.125,SLM00575,Fernando de Noronha
2021-07-13,384.3181818181818,32.81818181818182,,2807688.409554318,,1796.6818181818182,,,29.204545454545453,352.5,,77.40000115334986,474.9318181818182,21698.580995214546,,,,,,,,0.9254552858181507,1632.0,535.5927272727272,,133.97340278407898,31.818181818181817,SLM00575,Fernando de Noronha
2021-07-14,348.875,29.0,,2810630.312987656,,1800.3541666666667,,,20.791666666666668,325.375,,77.50000115483998,474.9583333333333,21722.0173776,,,,,,,,0.9600007680000999,1632.0,473.28,,112.87225130210088,23.5,SLM00575,Fernando de Noronha
2021-07-15,360.14285714285717,29.666666666666668,,2813241.792427083,,1800.5238095238096,,,22.238095238095237,334.8095238095238,,77.6000011563301,474.26190476190476,21744.457395552,,,,,,,,0.96000076799984,1632.0,484.16,,118.9474963690376,25.333333333333332,SLM00575,Fernando de Noronha
2021-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-07-17,354.9130434782609,29.17391304347826,,2815796.772736413,,1795.891304347826,,,20.934782608695652,329.4782608695652,,76.88695766744407,475.5869565217391,21767.596544498087,,,,,,,,0.777391926260822,1632.0,476.1182608695652,,113.768028804344,25.956521739130434,SLM00575,Fernando de Noronha
2021-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-07-22,340.375,29.75,,2817559.0328164063,,1804.25,,,21.1875,324.875,,78.40000116825104,476.6875,21783.977427168,,,,,,,,0.3200002560001849,1632.0,485.52,,108.29821421875386,18.25,SLM00575,Fernando de Noronha
2021-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-07-25,348.3,29.0,,2818522.7863729997,,1806.6,,,21.6,323.2,,78.4800011694431,477.3,21792.9214343232,,,,,,,,0.45600036480027484,1632.0,473.28000000000003,,110.81787775000558,25.1,SLM00575,Fernando de Noronha
2021-07-26,417.0833333333333,37.583333333333336,,2820584.8372097393,,1803.9166666666667,,,45.75,377.0416666666667,,78.93333450953163,471.5625,21808.0174464,,,,,,,,0.9600007680000999,1632.0,613.36,,157.13394635417112,40.041666666666664,SLM00575,Fernando de Noronha
2021-07-27,458.75,44.0,,2825412.831929583,,1800.2291666666667,,,64.41666666666667,413.5,,78.85000117495657,469.1041666666667,21832.007465592,,,,,,,,0.9550007639998815,1632.0,718.0799999999999,,179.21550468749288,46.833333333333336,SLM00575,Fernando de Noronha
2021-07-28,307.5217391304348,26.608695652173914,,2828258.157300489,,1804.608695652174,,,17.152173913043477,307.5217391304348,,78.0000011622906,475.7608695652174,21855.267918982954,,,,,,,,0.9252181314782912,1632.0,434.2539130434783,,94.86155168479308,7.565217391304348,SLM00575,Fernando de Noronha
2021-07-29,301.5416666666667,26.208333333333332,,2830503.932360104,,1803.3958333333333,,,17.25,306.5416666666667,,78.00000116229059,475.1458333333333,21879.0175032,,,,,,,,0.9600007680000999,1632.0,427.72,,96.42937661457108,9.166666666666666,SLM00575,Fernando de Noronha
2021-07-30,413.9166666666667,38.583333333333336,,2833116.2792893224,,1802.125,,,49.083333333333336,379.8333333333333,,78.55000117048621,470.4166666666667,21903.0175224,,,,,,,,0.9600007680000999,1632.0,629.68,,157.37053447917182,36.916666666666664,SLM00575,Fernando de Noronha
2021-07-31,364.9583333333333,31.458333333333332,,2836964.2668483853,,1806.9375,,,31.979166666666668,337.8333333333333,,78.91666784261663,471.9166666666667,21927.0175416,,,,,,,,0.9600007679999484,1632.0,513.4,,120.34449291665806,30.458333333333332,SLM00575,Fernando de Noronha
2021-08-01,346.2083333333333,29.0,,2839635.957965625,,1803.5833333333333,,,23.458333333333332,321.9583333333333,,78.15000116452576,472.8125,21951.0175608,,,,,,,,0.9600007680000999,1632.0,473.28,,110.70352682292771,24.25,SLM00575,Fernando de Noronha
2021-08-02,353.125,29.208333333333332,,2842346.9227116145,,1802.875,,,23.6875,327.7083333333333,,78.06666782995067,472.0208333333333,21975.027580007998,,,,,,,,0.9650007720000152,1632.0,476.68,,115.23813255208854,25.416666666666668,SLM00575,Fernando de Noronha
2021-08-03,350.1666666666667,29.125,,2845085.824572031,,1803.3333333333333,,,23.5625,326.6666666666667,,78.01666782920562,471.8958333333333,21999.667599720004,,,,,,,,0.9933341280000908,1632.0,475.32,,112.18220260415303,23.5,SLM00575,Fernando de Noronha
2021-08-04,326.8333333333333,27.625,,2847669.5443381253,,1801.6041666666667,,,20.979166666666668,316.0833333333333,,77.73333449165025,472.7083333333333,22023.950952479998,,,,,,,,0.9333340800000466,1632.0,450.84,,103.15242249999817,13.0,SLM00575,Fernando de Noronha
2021-08-05,330.5882352941176,27.705882352941178,,2849784.4055875,,1797.9705882352941,,,21.352941176470587,316.8235294117647,,77.2000011503696,472.79411764705884,22042.417633920002,,,,,,,,0.8000006399999942,1632.0,452.15999999999997,,100.98137852941257,13.764705882352942,SLM00575,Fernando de Noronha
2021-08-06,353.75,30.75,,2850951.021631875,,1801.875,,,29.625,340.75,,78.00000116229054,490.125,22052.617642079997,,,,,,,,0.24000019200047973,1632.0,501.84000000000003,,162.7726300000213,40.0,SLM00575,Fernando de Noronha
2021-08-07,420.3333333333333,37.666666666666664,,2851478.3765625,,1801.3333333333333,,,55.166666666666664,383.0,,77.8666678269704,523.0,22054.497643583996,,,,,,,,0.2400001920007829,1632.0,614.7199999999999,,123.18355041664715,61.333333333333336,SLM00575,Fernando de Noronha
2021-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-08-11,286.0,24.0,,2851732.7087968746,,1800.0,,,13.75,289.5,,77.2000011503696,477.0,22059.397647504,,,,,,,,0.12000009599978512,1632.0,391.68,,117.11112187500112,10.5,SLM00575,Fernando de Noronha
2021-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-08-18,415.5625,35.5,,2853084.5141960937,,1805.28125,,,32.21875,377.3125,,79.15000117942694,468.6875,22072.082657651998,,,,,,,,0.6300005040000087,1632.0,579.36,,154.6990602343867,38.25,SLM00575,Fernando de Noronha
2021-08-19,417.0416666666667,35.458333333333336,,2856166.74485724,,1806.25,,,32.875,379.9583333333333,,79.1333345125119,465.3958333333333,22090.017671999998,,,,,,,,0.9600007680000999,1632.0,578.68,,153.84142828125428,37.083333333333336,SLM00575,Fernando de Noronha
2021-08-20,429.0833333333333,37.166666666666664,,2859942.987067396,,1806.0625,,,35.6875,389.125,,79.16666784634192,464.6666666666667,22114.0176912,,,,,,,,0.9600007680000999,1632.0,606.5600000000001,,155.49754515623985,39.958333333333336,SLM00575,Fernando de Noronha
2021-08-21,385.8333333333333,32.875,,2863424.893934375,,1805.5416666666667,,,28.083333333333332,354.7083333333333,,78.70000117272137,465.7916666666667,22138.0177104,,,,,,,,0.9600007680000999,1632.0,536.52,,134.0666041666797,31.125,SLM00575,Fernando de Noronha
2021-08-22,426.0,37.666666666666664,,2866699.766476302,,1802.625,,,39.666666666666664,385.875,,78.68333450580634,463.4583333333333,22162.0177296,,,,,,,,0.9600007680000999,1632.0,614.72,,161.254522864571,40.125,SLM00575,Fernando de Noronha
2021-08-23,495.4583333333333,46.125,,2871531.4283120832,,1802.7083333333333,,,70.35416666666667,440.5833333333333,,79.75000118836762,460.4375,22186.0177488,,,,,,,,0.9600007679999484,1632.0,752.7600000000001,,199.24663260416128,57.375,SLM00575,Fernando de Noronha
2021-08-24,306.0,26.875,,2874811.7029495314,,1812.5416666666667,,,17.833333333333332,310.7083333333333,,79.60000118613242,468.0208333333333,22210.017768,,,,,,,,0.9600007680000999,1632.0,438.59999999999997,,97.4151604687601,6.208333333333333,SLM00575,Fernando de Noronha
2021-08-25,312.7916666666667,26.791666666666668,,2877148.3655660935,,1800.6875,,,18.3125,314.5416666666667,,77.61666782324511,467.3333333333333,22234.017787200002,,,,,,,,0.9600007680000999,1632.0,437.24,,97.19828802083309,7.166666666666667,SLM00575,Fernando de Noronha
2021-08-26,311.875,26.5,,2879517.8547850004,,1799.25,,,18.270833333333332,315.125,,77.08333448196449,467.2916666666667,22258.017806400003,,,,,,,,0.9600007680000999,1632.0,432.48,,99.26843411457958,6.416666666666667,SLM00575,Fernando de Noronha
2021-08-27,317.5652173913044,26.82608695652174,,2881860.221232663,,1800.3478260869565,,,18.17391304347826,315.69565217391306,,77.32174028261845,467.0869565217391,22281.513477370438,,,,,,,,0.9652181634783514,1632.0,437.8017391304348,,104.07820211956277,6.739130434782608,SLM00575,Fernando de Noronha
2021-08-28,428.375,37.833333333333336,,2884631.273361979,,1799.25,,,44.166666666666664,391.25,,78.2166678321858,462.9166666666667,22305.667844519998,,,,,,,,0.9933341279999391,1632.0,617.4399999999999,,156.18759385416828,40.041666666666664,SLM00575,Fernando de Noronha
2021-08-29,387.9166666666667,32.916666666666664,,2888440.4801842184,,1799.875,,,30.666666666666668,359.0833333333333,,77.9333344946305,464.0208333333333,22330.017863999998,,,,,,,,0.9600007680000999,1632.0,537.1999999999999,,135.48613291666456,28.833333333333332,SLM00575,Fernando de Noronha
2021-08-30,385.5,32.5,,2891655.8113813545,,1805.7083333333333,,,27.541666666666668,356.0833333333333,,78.76666784038146,463.875,22354.0178832,,,,,,,,0.9600007680000999,1632.0,530.4,,132.5484970312488,29.416666666666668,SLM00575,Fernando de Noronha
2021-08-31,372.5416666666667,31.083333333333332,,2894770.888360521,,1805.5208333333333,,,24.1875,345.8333333333333,,78.85000117495656,464.1041666666667,22378.0179024,,,,,,,,0.9600007680000999,1632.0,507.28,,125.33255921876601,26.708333333333332,SLM00575,Fernando de Noronha
2021-09-01,371.4583333333333,30.5,,2897780.072438073,,1807.3333333333333,,,25.1875,344.2916666666667,,78.83333450804153,464.3958333333333,22401.801254759997,,,,,,,,0.873334032000154,1632.0,497.76,,126.27891171874944,27.166666666666668,SLM00575,Fernando de Noronha
2021-09-02,366.875,30.625,,2899786.0637185937,,1804.8125,,,23.75,340.25,,78.45000116899608,464.5625,22413.757930992,,,,,,,,0.44000035199997,1632.0,499.8,,117.70259218750289,26.625,SLM00575,Fernando de Noronha
2021-09-03,360.75,30.25,,2900722.479517344,,1799.3125,,,23.5625,338.5,,77.6000011563301,470.375,22426.96794156,,,,,,,,0.5800004640000225,1632.0,493.68,,121.07397296873387,22.25,SLM00575,Fernando de Noronha
2021-09-04,377.0416666666667,31.041666666666668,,2902767.862720677,,1798.8333333333333,,,25.4375,349.75,,77.56666782250005,466.4791666666667,22442.017953600003,,,,,,,,0.9600007680000999,1632.0,506.59999999999997,,124.74108890624484,27.291666666666668,SLM00575,Fernando de Noronha
2021-09-05,370.4583333333333,30.666666666666668,,2905623.32366401,,1805.8541666666667,,,24.479166666666668,341.6666666666667,,78.5500011704862,465.375,22466.017972800004,,,,,,,,0.9600007680000999,1632.0,500.48,,121.92174708332944,28.791666666666668,SLM00575,Fernando de Noronha
2021-09-06,399.875,33.75,,2908833.5485007814,,1801.6666666666667,,,28.375,367.2916666666667,,78.21666783218582,463.9375,22489.90132524,,,,,,,,0.9133340639999309,1632.0,550.8000000000001,,137.81258281250484,32.583333333333336,SLM00575,Fernando de Noronha
2021-09-07,371.2307692307692,31.076923076923077,,2911227.142409808,,1803.3461538461538,,,25.153846153846153,345.61538461538464,,78.21538578088467,465.46153846153845,22505.498004383997,,,,,,,,0.6800005439998551,1632.0,507.1753846153846,,120.36875836536862,25.615384615384617,SLM00575,Fernando de Noronha
2021-09-08,296.75,25.0,,2912190.2016712497,,1812.375,,,15.125,300.5,,79.10000117868185,477.125,22516.038012816,,,,,,,,0.12000009599978512,1632.0,408.0,,73.1057306251023,6.75,SLM00575,Fernando de Noronha
2021-09-09,288.5,24.333333333333332,,2912579.1525487504,,1802.5833333333333,,,17.666666666666668,299.3333333333333,,77.6000011563301,459.0,22521.978017568003,,,,,,,,0.24000019199957023,1632.0,397.12000000000006,,82.0172166666016,10.833333333333334,SLM00575,Fernando de Noronha
2021-09-10,486.0,41.666666666666664,,2913035.7676299997,,1796.3333333333333,,,50.166666666666664,428.3333333333333,,77.73333449165023,458.1666666666667,22524.578019648,,,,,,,,0.08000006399985675,1632.0,680.0,,156.62133875008053,57.666666666666664,SLM00575,Fernando de Noronha
2021-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-09-12,482.44444444444446,42.44444444444444,,2914042.5289645833,,1795.611111111111,,,53.833333333333336,426.0,,78.13333449761073,449.72222222222223,22532.81802624,,,,,,,,0.40000032000009217,1632.0,692.6933333333333,,192.16213263886877,56.44444444444444,SLM00575,Fernando de Noronha
2021-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-09-14,365.94736842105266,31.94736842105263,,2916020.6381270397,,1799.2631578947369,,,31.81578947368421,347.10526315789474,,77.70526431579339,449.86842105263156,22547.737336421054,,,,,,,,0.5684215073683605,1632.0,521.3810526315789,,129.40125236841604,22.736842105263158,SLM00575,Fernando de Noronha
2021-09-15,508.0,46.0,,2917506.81001625,,1797.5,,,62.0,449.0,,78.8000011742115,443.5,22553.0180424,,,,,,,,0.2000001600026735,1632.0,750.72,,182.64603250008076,59.0,SLM00575,Fernando de Noronha
2021-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLM00575,Fernando de Noronha
2021-09-17,289.85714285714283,22.857142857142858,,2917948.351054107,,1810.7142857142858,,,15.714285714285714,299.7142857142857,,78.45714402624542,485.2857142857143,22559.258047392002,,,,,,,,0.28000022400010494,1632.0,373.0285714285714,,95.85198892859209,17.571428571428573,SLM00575,Fernando de Noronha
2021-09-18,370.1111111111111,31.333333333333332,,2918871.870922361,,1804.111111111111,,,25.27777777777778,346.8888888888889,,78.97777895463838,478.1666666666667,22570.524723071998,,,,,,,,0.5600004479998056,1632.0,511.35999999999996,,129.4399919444695,27.444444444444443,SLM00575,Fernando de Noronha
2021-09-19,432.9583333333333,38.541666666666664,,2921709.7191941664,,1800.1875,,,47.395833333333336,393.2916666666667,,78.58333450431623,474.1041666666667,22586.0180688,,,,,,,,0.9600007680000999,1632.0,629.0,,163.0683651562431,40.666666666666664,SLM00575,Fernando de Noronha
2021-09-20,312.0416666666667,26.208333333333332,,2924552.0889279167,,1807.125,,,18.0625,314.5833333333333,,78.400001168251,476.5416666666667,22610.018088,,,,,,,,0.9600007679999484,1632.0,427.72,,97.11942531249952,2.9583333333333335,SLM00575,Fernando de Noronha
2021-09-21,313.7083333333333,26.333333333333332,,2926887.765760625,,1805.1041666666667,,,17.5625,317.0833333333333,,78.18333449835578,475.8333333333333,22634.018107199998,,,,,,,,0.9600007680000999,1632.0,429.76,,96.88283718749881,6.791666666666667,SLM00575,Fernando de Noronha
2021-09-22,311.9166666666667,26.333333333333332,,2929187.4614826567,,1798.5208333333333,,,19.208333333333332,313.5416666666667,,76.90000114589931,475.6041666666667,22658.0181264,,,,,,,,0.9600007680000999,1632.0,429.76,,94.49724026041804,6.125,SLM00575,Fernando de Noronha
2021-09-23,316.5,26.818181818181817,,2931385.478080966,,1795.3636363636363,,,19.5,318.09090909090907,,76.56363750452344,474.1818181818182,22680.89269015418,,,,,,,,0.8981825367273731,1632.0,437.67272727272723,,95.3019983522721,9.863636363636363,SLM00575,Fernando de Noronha
2021-09-24,248.71428571428572,17.714285714285715,,2932626.2783291074,,1789.0,,,12.714285714285714,293.0,,74.57142968262949,477.0,22696.20101408914,,,,,,,,0.26285735314325265,1632.0,289.09714285714284,,57.795099107149454,44.285714285714285,SLM00575,Fernando de Noronha
2021-09-25,202.33333333333334,14.333333333333334,,2932926.6776512503,,1789.5,,,9.166666666666666,275.3333333333333,,74.4000011086464,521.1666666666666,22699.951493279998,,,,,,,,0.1600001279997135,1632.0,233.92,,62.45926500003164,73.0,SLM00575,Fernando de Noronha
2021-09-26,315.125,26.375,,2933389.029994531,,1809.0,,,19.0625,318.125,,78.8000011742115,479.1875,22705.46816436,,,,,,,,0.3400002719999975,1632.0,430.44,,96.23221984371776,3.25,SLM00575,Fernando de Noronha
2021-09-27,314.0,26.444444444444443,,2934207.933785972,,1808.4444444444443,,,19.444444444444443,318.55555555555554,,78.8000011742115,477.8333333333333,22709.698167744,,,,,,,,0.5200004160000794,1632.0,431.5733333333333,,92.37451902776957,4.555555555555555,SLM00575,Fernando de Noronha
