Timestamp,ABC00548_Load,ABC00547_Load,ABC00546_Load,QNT_SIM,UT1E,UT2E,UT3E,Site
2021-07-01,27.0,29.0,9.0,2.0,50.0,50.0,0.0,Hendrix
2021-07-02,31.0,30.0,,2.0,4.2,95.8,0.0,Hendrix
2021-07-03,40.0,40.0,36.0,2.0,0.0,83.3,16.7,Hendrix
2021-07-04,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-07-05,30.0,30.0,,1.0,91.7,8.3,0.0,Hendrix
2021-07-06,33.0,48.0,,1.0,66.7,33.3,0.0,Hendrix
2021-07-07,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-07-08,27.0,25.0,,2.0,37.5,62.5,0.0,Hendrix
2021-07-09,24.0,30.0,,1.0,75.0,25.0,0.0,Hendrix
2021-07-10,30.0,30.0,,1.0,75.0,25.0,0.0,Hendrix
2021-07-11,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-07-12,33.0,33.0,,1.0,75.0,25.0,0.0,Hendrix
2021-07-13,31.0,30.0,,1.0,95.8,4.2,0.0,Hendrix
2021-07-14,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-07-15,34.0,32.0,27.0,2.0,45.8,54.2,0.0,Hendrix
2021-07-16,47.0,38.0,,2.0,45.8,54.2,0.0,Hendrix
2021-07-17,,26.0,,1.0,100.0,0.0,0.0,Hendrix
2021-07-18,26.0,26.0,,1.0,95.8,4.2,0.0,Hendrix
2021-07-19,26.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-07-20,26.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-07-21,31.0,34.0,16.0,1.0,54.2,45.8,0.0,Hendrix
2021-07-22,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-07-23,27.0,24.0,,2.0,33.3,66.7,0.0,Hendrix
2021-07-24,30.0,38.0,,1.0,95.8,4.2,0.0,Hendrix
2021-07-25,30.0,16.0,,1.0,91.7,4.2,0.0,Hendrix
2021-07-26,53.0,49.0,40.0,2.0,20.8,62.5,16.7,Hendrix
2021-07-27,,31.0,16.0,1.0,95.8,4.2,0.0,Hendrix
2021-07-28,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-07-29,31.0,32.0,,1.0,95.8,4.2,0.0,Hendrix
2021-07-30,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-07-31,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-01,29.0,28.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-02,26.0,30.0,,1.0,87.5,12.5,0.0,Hendrix
2021-08-03,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-04,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-05,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-06,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-07,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-08,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-09,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-10,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-11,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-08-12,37.0,47.0,9.0,1.0,54.2,45.8,0.0,Hendrix
2021-08-13,43.0,39.0,27.0,2.0,25.0,70.8,0.0,Hendrix
2021-08-14,26.0,26.0,27.0,1.0,91.7,4.2,0.0,Hendrix
2021-08-15,25.0,26.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-16,46.0,36.0,,2.0,50.0,50.0,0.0,Hendrix
2021-08-17,17.0,31.0,,1.0,95.8,4.2,0.0,Hendrix
2021-08-18,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-19,,34.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-20,27.0,33.0,,1.0,91.7,8.3,0.0,Hendrix
2021-08-21,,29.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-22,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-23,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-24,32.0,32.0,31.0,1.0,100.0,0.0,0.0,Hendrix
2021-08-25,26.0,26.0,27.0,2.0,4.2,87.5,8.3,Hendrix
2021-08-26,25.0,25.0,,2.0,0.0,100.0,0.0,Hendrix
2021-08-27,33.0,31.0,,2.0,12.5,87.5,0.0,Hendrix
2021-08-28,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-29,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-30,,32.0,,1.0,100.0,0.0,0.0,Hendrix
2021-08-31,30.0,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-01,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-09-02,30.0,,9.0,1.0,91.7,4.2,0.0,Hendrix
2021-09-03,31.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-09-04,29.0,31.0,,1.0,95.8,4.2,0.0,Hendrix
2021-09-05,26.0,30.0,,1.0,91.7,8.3,0.0,Hendrix
2021-09-06,40.0,33.0,,1.0,75.0,25.0,0.0,Hendrix
2021-09-07,44.0,36.0,,2.0,50.0,50.0,0.0,Hendrix
2021-09-08,27.0,26.0,,1.0,79.2,20.8,0.0,Hendrix
2021-09-09,,25.0,22.0,1.0,58.3,8.3,0.0,Hendrix
2021-09-10,,26.0,,1.0,91.7,0.0,0.0,Hendrix
2021-09-11,,26.0,,1.0,91.7,0.0,0.0,Hendrix
2021-09-12,38.0,35.0,,1.0,62.5,33.3,0.0,Hendrix
2021-09-13,51.0,40.0,,1.0,54.2,45.8,0.0,Hendrix
2021-09-14,,34.0,,1.0,95.8,0.0,0.0,Hendrix
2021-09-15,46.0,36.0,,1.0,91.7,8.3,0.0,Hendrix
2021-09-16,,32.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-17,43.0,35.0,,1.0,83.3,16.7,0.0,Hendrix
2021-09-18,,36.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-19,,36.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-20,52.0,38.0,50.0,1.0,95.8,0.0,4.2,Hendrix
2021-09-21,,38.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-22,32.0,32.0,,1.0,58.3,41.7,0.0,Hendrix
2021-09-23,,36.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-24,,39.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-25,,34.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-26,,32.0,,1.0,100.0,0.0,0.0,Hendrix
2021-09-27,15.0,31.0,,1.0,95.8,4.2,0.0,Hendrix
2021-09-28,31.0,29.0,,1.0,95.8,0.0,0.0,Hendrix
2021-09-29,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-09-30,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-01,32.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-02,31.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-03,36.0,52.0,,1.0,79.2,20.8,0.0,Hendrix
2021-10-04,47.0,46.0,57.0,2.0,20.8,79.2,0.0,Hendrix
2021-10-05,34.0,36.0,,1.0,62.5,37.5,0.0,Hendrix
2021-10-06,32.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-07,,36.0,,1.0,100.0,0.0,0.0,Hendrix
2021-10-08,52.0,39.0,,1.0,75.0,25.0,0.0,Hendrix
2021-10-09,48.0,42.0,44.0,2.0,41.7,54.2,4.2,Hendrix
2021-10-10,24.0,26.0,26.0,1.0,83.3,4.2,0.0,Hendrix
2021-10-11,46.0,52.0,26.0,1.0,79.2,20.8,0.0,Hendrix
2021-10-12,56.0,45.0,,2.0,50.0,50.0,0.0,Hendrix
2021-10-13,45.0,41.0,,1.0,54.2,45.8,0.0,Hendrix
2021-10-14,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-10-15,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-10-16,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-10-17,29.0,30.0,,1.0,95.8,4.2,0.0,Hendrix
2021-10-18,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-19,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-20,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-21,29.0,16.0,,1.0,95.8,4.2,0.0,Hendrix
2021-10-22,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-23,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-10-24,38.0,31.0,,1.0,100.0,0.0,0.0,Hendrix
2021-10-25,9.0,31.0,,1.0,91.7,4.2,0.0,Hendrix
2021-10-26,,31.0,,1.0,95.8,0.0,0.0,Hendrix
2021-10-27,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-10-28,25.0,30.0,,1.0,91.7,8.3,0.0,Hendrix
2021-10-29,30.0,26.0,,1.0,95.8,4.2,0.0,Hendrix
2021-10-30,29.0,24.0,,1.0,79.2,20.8,0.0,Hendrix
2021-10-31,30.0,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-11-01,29.0,33.0,,1.0,100.0,0.0,0.0,Hendrix
2021-11-02,48.0,34.0,48.0,1.0,87.5,12.5,0.0,Hendrix
2021-11-03,25.0,29.0,36.0,1.0,70.8,29.2,0.0,Hendrix
2021-11-04,25.0,28.0,17.0,1.0,87.5,4.2,0.0,Hendrix
2021-11-05,33.0,29.0,,1.0,62.5,37.5,0.0,Hendrix
2021-11-06,47.0,41.0,,2.0,37.5,62.5,0.0,Hendrix
2021-11-07,,28.0,,1.0,100.0,0.0,0.0,Hendrix
2021-11-08,32.0,31.0,,1.0,83.3,16.7,0.0,Hendrix
2021-11-09,31.0,31.0,,1.0,58.3,41.7,0.0,Hendrix
2021-11-10,26.0,28.0,55.0,1.0,91.7,8.3,0.0,Hendrix
2021-11-11,26.0,27.0,16.0,1.0,79.2,16.7,4.2,Hendrix
2021-11-12,,28.0,,1.0,100.0,0.0,0.0,Hendrix
2021-11-13,,28.0,,1.0,100.0,0.0,0.0,Hendrix
2021-11-14,27.0,30.0,,1.0,79.2,20.8,0.0,Hendrix
2021-11-15,9.0,32.0,,1.0,95.8,4.2,0.0,Hendrix
2021-11-16,33.0,37.0,43.0,2.0,33.3,66.7,0.0,Hendrix
2021-11-17,,36.0,,1.0,100.0,0.0,0.0,Hendrix
2021-11-18,35.0,33.0,,1.0,100.0,0.0,0.0,Hendrix
2021-11-19,33.0,33.0,,1.0,83.3,16.7,0.0,Hendrix
2021-11-20,26.0,31.0,,1.0,87.5,12.5,0.0,Hendrix
2021-11-21,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-11-22,31.0,30.0,10.0,1.0,75.0,20.8,4.2,Hendrix
2021-11-23,29.0,29.0,,1.0,83.3,16.7,0.0,Hendrix
2021-11-24,32.0,31.0,,2.0,50.0,50.0,0.0,Hendrix
2021-11-25,28.0,28.0,42.0,2.0,58.3,12.5,29.2,Hendrix
2021-11-26,35.0,35.0,42.0,2.0,33.3,45.8,20.8,Hendrix
2021-11-27,29.0,31.0,16.0,2.0,54.2,41.7,4.2,Hendrix
2021-11-28,31.0,29.0,,1.0,95.8,4.2,0.0,Hendrix
2021-11-29,20.0,31.0,,1.0,87.5,12.5,0.0,Hendrix
2021-11-30,29.0,33.0,,1.0,91.7,4.2,0.0,Hendrix
2021-12-01,34.0,34.0,,1.0,75.0,25.0,0.0,Hendrix
2021-12-02,43.0,45.0,9.0,2.0,0.0,95.8,4.2,Hendrix
2021-12-03,31.0,29.0,,1.0,79.2,16.7,0.0,Hendrix
2021-12-04,,26.0,,1.0,100.0,0.0,0.0,Hendrix
2021-12-05,46.0,43.0,,2.0,16.7,83.3,0.0,Hendrix
2021-12-06,,29.0,,1.0,100.0,0.0,0.0,Hendrix
2021-12-07,,29.0,,1.0,100.0,0.0,0.0,Hendrix
2021-12-08,,28.0,,1.0,100.0,0.0,0.0,Hendrix
2021-12-09,26.0,29.0,,1.0,100.0,0.0,0.0,Hendrix
2021-12-10,30.0,31.0,,1.0,95.8,0.0,0.0,Hendrix
2021-12-11,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-12-12,50.0,30.0,,1.0,91.7,8.3,0.0,Hendrix
2021-12-13,31.0,38.0,,1.0,87.5,12.5,0.0,Hendrix
2021-12-14,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-12-15,29.0,,9.0,1.0,95.8,4.2,0.0,Hendrix
2021-12-16,31.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-12-17,31.0,42.0,,1.0,83.3,16.7,0.0,Hendrix
2021-12-18,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-12-19,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-12-20,35.0,,41.0,1.0,62.5,37.5,0.0,Hendrix
2021-12-21,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2021-12-22,38.0,34.0,,1.0,83.3,16.7,0.0,Hendrix
2021-12-23,9.0,30.0,,1.0,95.8,4.2,0.0,Hendrix
2021-12-24,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2021-12-25,36.0,31.0,,1.0,91.7,8.3,0.0,Hendrix
2021-12-26,44.0,37.0,,1.0,66.7,33.3,0.0,Hendrix
2021-12-27,,32.0,,1.0,100.0,0.0,0.0,Hendrix
2021-12-28,42.0,34.0,,1.0,79.2,20.8,0.0,Hendrix
2021-12-29,40.0,46.0,51.0,2.0,0.0,95.8,4.2,Hendrix
2021-12-30,,26.0,31.0,1.0,95.8,4.2,0.0,Hendrix
2021-12-31,22.0,26.0,,1.0,79.2,20.8,0.0,Hendrix
2022-01-01,,26.0,17.0,1.0,95.8,4.2,0.0,Hendrix
2022-01-02,51.0,42.0,,2.0,37.5,62.5,0.0,Hendrix
2022-01-03,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-04,30.0,32.0,,1.0,79.2,20.8,0.0,Hendrix
2022-01-05,,32.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-06,,29.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-07,45.0,33.0,,1.0,75.0,20.8,0.0,Hendrix
2022-01-08,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-09,38.0,32.0,,1.0,91.7,8.3,0.0,Hendrix
2022-01-10,,29.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-11,24.0,29.0,,1.0,70.8,29.2,0.0,Hendrix
2022-01-12,,29.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-13,,29.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-14,32.0,31.0,,1.0,83.3,16.7,0.0,Hendrix
2022-01-15,,29.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-16,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-17,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-18,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-19,30.0,27.0,,1.0,95.8,4.2,0.0,Hendrix
2022-01-20,29.0,29.0,,1.0,95.8,4.2,0.0,Hendrix
2022-01-21,,30.0,24.0,1.0,95.8,4.2,0.0,Hendrix
2022-01-22,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-23,,29.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-24,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-25,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2022-01-26,,40.0,47.0,2.0,33.3,66.7,0.0,Hendrix
2022-01-27,,29.0,29.0,1.0,83.3,16.7,0.0,Hendrix
2022-01-28,17.0,29.0,32.0,1.0,75.0,20.8,4.2,Hendrix
2022-01-29,16.0,48.0,51.0,2.0,8.3,87.5,4.2,Hendrix
2022-01-30,,35.0,36.0,2.0,41.7,58.3,0.0,Hendrix
2022-01-31,40.0,37.0,41.0,2.0,16.7,83.3,0.0,Hendrix
2022-02-01,36.0,30.0,32.0,1.0,83.3,16.7,0.0,Hendrix
2022-02-02,34.0,31.0,,1.0,87.5,12.5,0.0,Hendrix
2022-02-03,33.0,30.0,,1.0,91.7,8.3,0.0,Hendrix
2022-02-04,35.0,34.0,,1.0,62.5,37.5,0.0,Hendrix
2022-02-05,29.0,30.0,,1.0,100.0,0.0,0.0,Hendrix
2022-02-06,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2022-02-07,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2022-02-08,38.0,29.0,,1.0,95.8,4.2,0.0,Hendrix
2022-02-09,31.0,29.0,,1.0,75.0,25.0,0.0,Hendrix
2022-02-10,,30.0,31.0,1.0,83.3,16.7,0.0,Hendrix
2022-02-11,,36.0,36.0,1.0,79.2,20.8,0.0,Hendrix
2022-02-12,41.0,33.0,,1.0,100.0,0.0,0.0,Hendrix
2022-02-13,,39.0,,1.0,100.0,0.0,0.0,Hendrix
2022-02-14,34.0,29.0,,1.0,95.8,4.2,0.0,Hendrix
2022-02-15,33.0,,27.0,1.0,91.7,8.3,0.0,Hendrix
2022-02-16,29.0,27.0,,1.0,100.0,0.0,0.0,Hendrix
2022-02-17,28.0,31.0,,1.0,95.8,4.2,0.0,Hendrix
2022-02-18,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2022-02-19,,29.0,,1.0,100.0,0.0,0.0,Hendrix
2022-02-20,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2022-02-21,,28.0,,1.0,100.0,0.0,0.0,Hendrix
2022-02-22,,28.0,,1.0,100.0,0.0,0.0,Hendrix
2022-02-23,16.0,31.0,36.0,1.0,70.8,29.2,0.0,Hendrix
2022-02-24,30.0,35.0,34.0,2.0,37.5,62.5,0.0,Hendrix
2022-02-25,37.0,27.0,28.0,1.0,75.0,25.0,0.0,Hendrix
2022-02-26,41.0,38.0,,2.0,33.3,66.7,0.0,Hendrix
2022-02-27,33.0,33.0,,2.0,4.2,95.8,0.0,Hendrix
2022-02-28,28.0,29.0,,2.0,37.5,62.5,0.0,Hendrix
2022-03-01,29.0,29.0,53.0,2.0,37.5,25.0,37.5,Hendrix
2022-03-02,28.0,28.0,53.0,2.0,20.8,20.8,58.3,Hendrix
2022-03-03,25.0,28.0,54.0,2.0,41.7,4.2,54.2,Hendrix
2022-03-04,24.0,26.0,54.0,2.0,20.8,20.8,58.3,Hendrix
2022-03-05,30.0,32.0,53.0,2.0,37.5,25.0,37.5,Hendrix
2022-03-06,30.0,38.0,,1.0,87.5,12.5,0.0,Hendrix
2022-03-07,29.0,,59.0,1.0,91.7,8.3,0.0,Hendrix
2022-03-08,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2022-03-09,31.0,37.0,,1.0,87.5,12.5,0.0,Hendrix
2022-03-10,37.0,37.0,,2.0,37.5,62.5,0.0,Hendrix
2022-03-11,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2022-03-12,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2022-03-13,,29.0,,1.0,95.8,0.0,0.0,Hendrix
2022-03-14,45.0,30.0,,1.0,95.8,4.2,0.0,Hendrix
2022-03-15,41.0,34.0,,1.0,66.7,33.3,0.0,Hendrix
2022-03-16,23.0,29.0,,1.0,87.5,12.5,0.0,Hendrix
2022-03-17,,30.0,,1.0,100.0,0.0,0.0,Hendrix
2022-03-18,24.0,30.0,,1.0,87.5,12.5,0.0,Hendrix
2022-03-19,40.0,31.0,,1.0,79.2,20.8,0.0,Hendrix
2022-03-20,28.0,30.0,,1.0,79.2,20.8,0.0,Hendrix
2022-03-21,45.0,32.0,,1.0,95.8,4.2,0.0,Hendrix
2022-03-22,29.0,30.0,32.0,1.0,91.7,8.3,0.0,Hendrix
2022-03-23,,39.0,45.0,2.0,37.5,62.5,0.0,Hendrix
2022-03-24,,36.0,34.0,1.0,62.5,37.5,0.0,Hendrix
2022-03-25,,26.0,,1.0,100.0,0.0,0.0,Hendrix
2022-03-26,38.0,32.0,26.0,1.0,62.5,37.5,0.0,Hendrix
2022-03-27,41.0,48.0,,2.0,33.3,66.7,0.0,Hendrix
2022-03-28,49.0,31.0,,1.0,87.5,12.5,0.0,Hendrix
2022-03-29,28.0,30.0,,1.0,95.8,4.2,0.0,Hendrix
2022-03-30,,28.0,34.0,1.0,95.8,4.2,0.0,Hendrix
2022-03-31,,29.0,,1.0,100.0,0.0,0.0,Hendrix
2022-04-01,42.0,40.0,,1.0,95.8,4.2,0.0,Hendrix
2022-04-02,,33.0,41.0,1.0,95.8,4.2,0.0,Hendrix
2022-04-03,,32.0,,1.0,100.0,0.0,0.0,Hendrix
2022-04-04,34.0,31.0,,1.0,100.0,0.0,0.0,Hendrix
2022-04-05,33.0,42.0,,1.0,87.5,12.5,0.0,Hendrix
2022-04-06,34.0,,,1.0,100.0,0.0,0.0,Hendrix
2022-04-07,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2022-04-08,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2022-04-09,38.0,,41.0,1.0,95.8,4.2,0.0,Hendrix
2022-04-10,,34.0,30.0,1.0,95.8,4.2,0.0,Hendrix
2022-04-11,27.0,36.0,48.0,1.0,75.0,4.2,20.8,Hendrix
2022-04-12,42.0,,26.0,1.0,91.7,8.3,0.0,Hendrix
2022-04-13,31.0,30.0,33.0,1.0,87.5,12.5,0.0,Hendrix
2022-04-14,30.0,16.0,58.0,1.0,95.8,0.0,4.2,Hendrix
2022-04-15,31.0,,,1.0,100.0,0.0,0.0,Hendrix
2022-04-16,30.0,,,1.0,100.0,0.0,0.0,Hendrix
2022-04-17,29.0,,,1.0,100.0,0.0,0.0,Hendrix
2022-04-18,29.0,29.0,57.0,1.0,91.7,4.2,0.0,Hendrix
2022-04-19,38.0,36.0,,2.0,37.5,62.5,0.0,Hendrix
2022-04-20,31.0,34.0,,2.0,45.8,54.2,0.0,Hendrix
2022-04-21,28.0,31.0,,1.0,70.8,29.2,0.0,Hendrix
2022-04-22,39.0,32.0,68.0,1.0,62.5,37.5,0.0,Hendrix
2022-04-23,48.0,35.0,,1.0,70.8,29.2,0.0,Hendrix
2022-04-24,42.0,33.0,,1.0,79.2,20.8,0.0,Hendrix
2022-04-25,,31.0,,1.0,100.0,0.0,0.0,Hendrix
2022-04-26,,30.0,29.0,1.0,83.3,16.7,0.0,Hendrix
2022-04-27,55.0,30.0,,1.0,95.8,4.2,0.0,Hendrix
2022-04-28,36.0,32.0,,1.0,87.5,12.5,0.0,Hendrix
