Timestamp,S2R00243_Load,PAG00133_Load,S2R00223_Load,S2R00247_Load,QNT_SIM,UT1E,UT2E,UT3E,UT4E,Site
2021-07-01,,44.0,44.0,43.0,3.0,0.0,0.0,100.0,0.0,Parcel do Manoel Luis
2021-07-02,,24.0,22.0,23.0,2.0,58.3,4.2,37.5,0.0,Parcel do Manoel Luis
2021-07-03,,24.0,23.0,20.0,2.0,25.0,29.2,45.8,0.0,Parcel do Manoel Luis
2021-07-04,,23.0,20.0,19.0,3.0,4.2,37.5,58.3,0.0,Parcel do Manoel Luis
2021-07-05,,23.0,,14.0,1.0,91.7,8.3,0.0,0.0,Parcel do Manoel Luis
2021-07-06,,23.0,23.0,26.0,1.0,87.5,8.3,4.2,0.0,Parcel do Manoel Luis
2021-07-07,,25.0,,18.0,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-07-08,,30.0,38.0,26.0,2.0,50.0,20.8,29.2,0.0,Parcel do Manoel Luis
2021-07-09,,31.0,44.0,48.0,2.0,58.3,8.3,33.3,0.0,Parcel do Manoel Luis
2021-07-10,,21.0,21.0,18.0,1.0,87.5,8.3,4.2,0.0,Parcel do Manoel Luis
2021-07-11,,33.0,36.0,36.0,3.0,8.3,16.7,75.0,0.0,Parcel do Manoel Luis
2021-07-12,,24.0,20.0,18.0,2.0,0.0,62.5,37.5,0.0,Parcel do Manoel Luis
2021-07-13,,24.0,20.0,19.0,3.0,0.0,12.5,87.5,0.0,Parcel do Manoel Luis
2021-07-14,,24.0,22.0,18.0,2.0,45.8,54.2,0.0,0.0,Parcel do Manoel Luis
2021-07-15,,24.0,24.0,20.0,2.0,25.0,66.7,8.3,0.0,Parcel do Manoel Luis
2021-07-16,,24.0,20.0,18.0,2.0,25.0,25.0,50.0,0.0,Parcel do Manoel Luis
2021-07-17,,24.0,20.0,19.0,2.0,20.8,16.7,62.5,0.0,Parcel do Manoel Luis
2021-07-18,,22.0,20.0,18.0,3.0,8.3,8.3,83.3,0.0,Parcel do Manoel Luis
2021-07-19,,23.0,21.0,18.0,3.0,0.0,33.3,66.7,0.0,Parcel do Manoel Luis
2021-07-20,,24.0,22.0,,2.0,0.0,100.0,0.0,0.0,Parcel do Manoel Luis
2021-07-21,,22.0,20.0,18.0,2.0,0.0,58.3,41.7,0.0,Parcel do Manoel Luis
2021-07-22,,30.0,28.0,26.0,3.0,0.0,0.0,100.0,0.0,Parcel do Manoel Luis
2021-07-23,,26.0,29.0,29.0,2.0,50.0,16.7,33.3,0.0,Parcel do Manoel Luis
2021-07-24,,13.0,,,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-07-25,,12.0,,,1.0,87.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-07-26,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-07-27,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-07-28,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-07-29,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-07-30,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-07-31,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-01,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-02,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-03,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-04,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-05,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-06,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-07,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-08,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-09,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-10,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-11,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-12,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-13,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-14,,,,10.0,0.0,4.2,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-15,,,,19.0,0.0,41.7,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-16,,,,19.0,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-17,,,,20.0,1.0,66.7,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-18,,,,30.0,1.0,62.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-19,,,,18.0,0.0,29.2,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-20,,,,20.0,0.0,37.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-21,,,,18.0,0.0,41.7,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-22,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-23,,,,35.0,0.0,45.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-24,,,,16.0,0.0,12.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-25,,,,19.0,0.0,12.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-26,,,,18.0,0.0,12.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-27,,,,30.0,1.0,62.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-28,,,,45.0,0.0,50.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-29,,,,18.0,0.0,20.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-30,,,,19.0,0.0,8.3,0.0,0.0,0.0,Parcel do Manoel Luis
2021-08-31,,,,19.0,0.0,25.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-01,,,,17.0,0.0,4.2,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-02,,,,39.0,0.0,33.3,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-03,,,,29.0,1.0,79.2,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-04,,,,38.0,0.0,8.3,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-05,,,,18.0,1.0,54.2,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-06,,,,18.0,0.0,50.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-07,,,,20.0,0.0,50.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-08,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-09,,,,20.0,0.0,20.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-10,,,,21.0,1.0,91.7,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-11,,,,20.0,0.0,45.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-12,,,,21.0,0.0,29.2,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-13,,,,20.0,0.0,41.7,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-14,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-15,,,,18.0,0.0,41.7,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-16,,,,39.0,0.0,41.7,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-17,,,,30.0,0.0,45.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-18,,,,31.0,1.0,91.7,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-19,,,,32.0,1.0,58.3,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-20,,,,19.0,0.0,41.7,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-21,,,,19.0,0.0,4.2,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-22,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-23,,,,19.0,0.0,45.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-24,,,,18.0,0.0,37.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-25,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-26,,,,19.0,0.0,20.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-27,,,,18.0,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-28,,,,18.0,1.0,87.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-29,,,,19.0,1.0,87.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-09-30,,,,29.0,1.0,75.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-01,,,,29.0,1.0,58.3,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-02,,,,34.0,1.0,75.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-03,,,,28.0,1.0,83.3,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-04,,,,19.0,1.0,62.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-05,,,,24.0,1.0,79.2,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-06,,,,22.0,1.0,95.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-07,,,,18.0,0.0,20.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-08,,,,21.0,1.0,75.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-09,,,,20.0,1.0,87.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-10,,,,30.0,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-11,,,,23.0,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-12,,,,37.0,1.0,95.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-13,,26.0,27.0,,2.0,0.0,100.0,0.0,0.0,Parcel do Manoel Luis
2021-10-14,,30.0,33.0,31.0,2.0,0.0,100.0,0.0,0.0,Parcel do Manoel Luis
2021-10-15,,18.0,29.0,22.0,2.0,20.8,29.2,25.0,0.0,Parcel do Manoel Luis
2021-10-16,,39.0,34.0,33.0,2.0,8.3,58.3,33.3,0.0,Parcel do Manoel Luis
2021-10-17,,23.0,24.0,20.0,1.0,87.5,4.2,8.3,0.0,Parcel do Manoel Luis
2021-10-18,,26.0,32.0,10.0,1.0,83.3,12.5,4.2,0.0,Parcel do Manoel Luis
2021-10-19,,24.0,35.0,19.0,2.0,54.2,16.7,29.2,0.0,Parcel do Manoel Luis
2021-10-20,,24.0,34.0,18.0,2.0,33.3,8.3,58.3,0.0,Parcel do Manoel Luis
2021-10-21,,23.0,31.0,18.0,1.0,20.8,0.0,41.7,0.0,Parcel do Manoel Luis
2021-10-22,,,,18.0,0.0,37.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-23,,,,37.0,1.0,62.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-24,,,,28.0,0.0,45.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-25,,,,23.0,1.0,54.2,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-26,,,,19.0,1.0,70.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-27,,,,19.0,1.0,87.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-28,,,,22.0,1.0,87.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-29,,,,23.0,1.0,66.7,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-30,,,,34.0,0.0,37.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-10-31,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-01,,,,28.0,0.0,8.3,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-02,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-03,,,,20.0,0.0,29.2,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-04,,,,18.0,1.0,62.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-05,,,,22.0,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-06,,,,19.0,1.0,58.3,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-07,,,,18.0,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-08,,,,18.0,1.0,75.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-09,,,,18.0,0.0,29.2,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-10,,,,20.0,0.0,45.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-11,,,,25.0,0.0,45.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-12,,,,26.0,0.0,33.3,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-13,,,,25.0,1.0,91.7,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-14,,,,19.0,1.0,62.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-15,,,,23.0,0.0,45.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-16,,,,21.0,1.0,62.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-17,,,,19.0,1.0,87.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-18,,,,19.0,1.0,95.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-19,,,,19.0,0.0,12.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-20,,,,21.0,0.0,41.7,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-21,,,,23.0,1.0,70.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-22,,,,21.0,1.0,66.7,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-23,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-24,,,29.0,,0.0,37.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-25,,,31.0,,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-26,,,30.0,,0.0,50.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-27,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-28,,19.0,27.0,16.0,1.0,75.0,8.3,12.5,0.0,Parcel do Manoel Luis
2021-11-29,,18.0,,,1.0,66.7,0.0,0.0,0.0,Parcel do Manoel Luis
2021-11-30,,15.0,28.0,17.0,1.0,50.0,0.0,4.2,0.0,Parcel do Manoel Luis
2021-12-01,,,32.0,,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-12-02,,,32.0,,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-12-03,,,32.0,19.0,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-12-04,,,,19.0,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-12-05,,,,19.0,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-12-06,,,33.0,19.0,1.0,79.2,0.0,0.0,0.0,Parcel do Manoel Luis
2021-12-07,,,33.0,,1.0,70.8,0.0,0.0,0.0,Parcel do Manoel Luis
2021-12-08,,22.0,31.0,18.0,1.0,91.7,0.0,4.2,0.0,Parcel do Manoel Luis
2021-12-09,,,,20.0,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-12-10,,,24.0,19.0,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-12-11,,19.0,23.0,12.0,1.0,33.3,0.0,12.5,0.0,Parcel do Manoel Luis
2021-12-12,,17.0,,12.0,0.0,8.3,4.2,0.0,0.0,Parcel do Manoel Luis
2021-12-13,,16.0,,16.0,0.0,16.7,4.2,0.0,0.0,Parcel do Manoel Luis
2021-12-14,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-12-15,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
2021-12-16,,16.0,,,0.0,4.2,0.0,0.0,0.0,Parcel do Manoel Luis
2021-12-17,,9.0,,14.0,0.0,16.7,4.2,0.0,0.0,Parcel do Manoel Luis
2021-12-18,,17.0,,15.0,0.0,33.3,4.2,0.0,0.0,Parcel do Manoel Luis
2021-12-19,,8.0,,,0.0,4.2,0.0,0.0,0.0,Parcel do Manoel Luis
2021-12-20,,,,12.0,0.0,12.5,0.0,0.0,0.0,Parcel do Manoel Luis
2021-12-21,,8.0,49.0,33.0,1.0,54.2,4.2,0.0,0.0,Parcel do Manoel Luis
2021-12-22,,24.0,25.0,18.0,2.0,25.0,4.2,66.7,0.0,Parcel do Manoel Luis
2021-12-23,,25.0,25.0,19.0,2.0,50.0,12.5,37.5,0.0,Parcel do Manoel Luis
2021-12-24,,29.0,31.0,15.0,2.0,29.2,37.5,33.3,0.0,Parcel do Manoel Luis
2021-12-25,,34.0,43.0,34.0,2.0,41.7,20.8,37.5,0.0,Parcel do Manoel Luis
2021-12-26,,23.0,29.0,18.0,3.0,0.0,4.2,95.8,0.0,Parcel do Manoel Luis
2021-12-27,,25.0,35.0,18.0,3.0,0.0,45.8,54.2,0.0,Parcel do Manoel Luis
2021-12-28,,25.0,34.0,19.0,3.0,0.0,37.5,62.5,0.0,Parcel do Manoel Luis
2021-12-29,,23.0,25.0,16.0,3.0,16.7,12.5,70.8,0.0,Parcel do Manoel Luis
2021-12-30,,24.0,24.0,18.0,3.0,4.2,8.3,87.5,0.0,Parcel do Manoel Luis
2021-12-31,,26.0,,,1.0,100.0,0.0,0.0,0.0,Parcel do Manoel Luis
2022-01-01,,26.0,31.0,,1.0,62.5,4.2,0.0,0.0,Parcel do Manoel Luis
2022-01-02,,,,,0.0,0.0,0.0,0.0,0.0,Parcel do Manoel Luis
