Severity,Type,Code,Source,Description,Count,Asset,Site,IsEv,CodeB,Causas,Recomendações,Peso,PesoSev,PesoReal,IC,Status de confiabilidade
Medium,Diagnostic,10--5,Engine,Cylinder #10 Injector:Current Below Normal,1.0,ABA00133,Lewis Hamilton,,,,,,10.0,,,Verde
Medium,Diagnostic,10--5,Engine,Cylinder #10 Injector:Current Below Normal,1.0,ABC00576,Ilhas Maldivas,,,,,,10.0,,,Verde
Low,Diagnostic,100--2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",8.0,ABA00223,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,2.657782255942782,Verde
Low,Diagnostic,100--2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",2.0,ABA00243,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,100--2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",2.0,ABA00247,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,100--2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",3.0,ABC00546,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.9966683459785431,Verde
Low,Diagnostic,100--2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",4.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,1.328891127971391,Verde
Low,Diagnostic,100--2,Engine,"Engine Oil Pressure Sensor:Erratic, Intermittent, or Incorrect",3.0,ABC00548,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.9966683459785431,Verde
Medium,Diagnostic,100--3,Engine #3,Engine Oil Pressure Sensor:Voltage Above Normal,1.0,ABB00230,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Diagnostic,100--3,Engine,Engine Oil Pressure Sensor:Voltage Above Normal,1.0,ABB00231,Martin Miller,,,"Sensor defeituoso, cabo de interligação defeituoso",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Event (J1939),100--3,Not Available,Engine Oil Pressure:Voltage Above Normal,1.0,ABB00233,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,100--3,Engine,Engine Oil Pressure Sensor:Voltage Above Normal,2.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,100--3,Engine,Engine Oil Pressure Sensor:Voltage Above Normal,3.0,ABC00548,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.9966683459785431,Verde
Low,Diagnostic,101--3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,1.0,ABA00133,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Medium,Diagnostic,101--3,Engine #5,Crankcase Air Pressure Sensor:Voltage Above Normal,1.0,ABB00232,Florianopolis,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Event (J1939),101--3,Not Available,Engine Crankcase Pressure:Voltage Above Normal,1.0,ABB00233,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,101--3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,1.0,ABC00548,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,101--3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,2.0,ABC00574,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,101--3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,1.0,ABC00575,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,101--3,Engine,Crankcase Air Pressure Sensor:Voltage Above Normal,4.0,ABC00576,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,1.328891127971391,Verde
Low,Event (J1939),102--3,Not Available,Engine Intake Manifold #1 Pressure:Voltage Above Normal,1.0,ABB00233,Marica,,,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Event (J1939),102--4,Not Available,Engine Intake Manifold #1 Pressure:Voltage Below Normal,2.0,ABB00233,Marica,,,,,,5.6234,,,Verde
Low,Diagnostic,105--3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,44.0,ABA00133,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,14.6178024076853,Verde
Low,Diagnostic,105--3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,1.0,ABA00243,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Event (J1939),105--3,Not Available,Engine Intake Manifold #1 Temperature:Voltage Above Normal,1.0,ABB00233,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,105--3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2.0,ABC00546,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,105--3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,105--3,Engine,Inlet Manifold Temperature Sensor:Voltage Above Normal,2.0,ABC00576,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Event (J1939),108--3,Not Available,Barometric Pressure:Voltage Above Normal,1.0,ABB00233,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Event (J1939),108--4,Not Available,Barometric Pressure:Voltage Below Normal,1.0,ABB00233,Marica,,,,,,5.6234,,,Verde
Medium,Diagnostic,11--5,Engine,Cylinder #11 Injector:Current Below Normal,1.0,ABA00243,Lewis Hamilton,,,,,,10.0,,,Verde
Medium,Diagnostic,11--5,Engine,Cylinder #11 Injector:Current Below Normal,1.0,ABC00576,Ilhas Maldivas,,,,,,10.0,,,Verde
Low,Event (J1939),110--17,Not Available,Engine Coolant Temperature:Low - least severe (1),4.0,ABB00233,Marica,,,Operação em fatores de carga altos com baixa temperatura do sistema de arrefecimento. Aumento brusco do fator de carga no motor com temperatura baixa de arrefecimento.,"Operação em fatores de carga muito baixos, Antes de assumir cargas altas, o motor deve ser preaquecido até a temperatura de trabalho; Utilização de aquecedor de água de jaqueta.",1.0,5.6234,999.9905737984717,1.328891127971391,Verde
Medium,Diagnostic,110--3,Engine,Engine Coolant Temperature Sensor:Voltage Above Normal,1.0,ABB00231,Martin Miller,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Event (J1939),110--3,Not Available,Engine Coolant Temperature:Voltage Above Normal,2.0,ABB00233,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Medium,Diagnostic,110--3,Engine,Engine Coolant Temperature Sensor:Voltage Above Normal,2.0,ABC00546,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,6.644518272425249,Verde
Medium,Diagnostic,110--3,Engine,Engine Coolant Temperature Sensor:Voltage Above Normal,2.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,6.644518272425249,Verde
Medium,Diagnostic,110--3,Engine,Engine Coolant Temperature Sensor:Voltage Above Normal,3.0,ABC00548,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,9.966777408637874,Verde
Low,Event (J1939),1176--3,Not Available,Engine Turbocharger #1 Compressor Inlet Pressure:Voltage Above Normal,1.0,ABB00233,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Event (J1939),1177--3,Not Available,Engine Turbocharger #2 Compressor Inlet Pressure:Voltage Above Normal,1.0,ABB00233,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Medium,Diagnostic,1249--13,Engine #5,Secondary Throttle Position calibration required,2.0,ABB00231,Martin Miller,,,Falta de calibração sensor de posição do acelerador. ,A calibração do sensor de posição do acelerador requer o uso do Cat ET. ,1.0,10.0,10000.0,6.644518272425249,Verde
Medium,Diagnostic,1249--8,Engine #5,Secondary Throttle Position signal abnormal,1.0,ABB00231,Martin Miller,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Event (J1939),1382--3,Not Available,Engine Fuel Filter (suction side) Differential Pressure:Voltage Above Normal,1.0,ABB00233,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,1495--2,Engine,Injector Trim Codes Not Programmed,1.0,ABB00231,Martin Miller,,,Instalação de novo injetor sem cadastro no ECM.,Cadastrar informações do injetor no ECM.,,5.6234,,,Verde
Medium,Diagnostic,16--5,Engine,Cylinder #16 Injector:Current Below Normal,1.0,ABA00243,Lewis Hamilton,,,"Injetor defeituoso, cabo de interligação defeituoso.",Checagem do injetor e cabos de interligação; Troca do injetor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Event (J1939),1656--2,Not Available,"Engine Automatic Start Enable Switch:Erratic, Intermittent, or Incorrect",1.0,ABB00233,Marica,,,"Botoeira defeituoso, cabo de interligação defeituoso.",Checagem do botoeira e cabos de interligação; Troca do botoeira e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Medium,Diagnostic,168--1,Engine #5,Electrical System Voltage:Low,1.0,ABB00232,Florianopolis,,,A tensão de alimentação da bateria é inferior a 9 VDC por dois segundos. O ECM do motor foi alimentado por três segundos. O motor não está sendo acionado.,"Checar cabos e conectores, tensão do ECM e da bateria e Tensão do ECS.",1.0,10.0,10000.0,3.3222591362126246,Verde
Medium,Diagnostic,168--1,Engine,Electrical System Voltage:Low,1.0,ABC00575,Ilhas Maldivas,,,A tensão de alimentação da bateria é inferior a 9 VDC por dois segundos. O ECM do motor foi alimentado por três segundos. O motor não está sendo acionado.,"Checar cabos e conectores, tensão do ECM e da bateria e Tensão do ECS.",1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Diagnostic,175--3,Engine,Engine Oil Temperature Sensor:Voltage Above Normal,1.0,ABA00243,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,175--3,Engine,Engine Oil Temperature Sensor:Voltage Above Normal,1.0,ABB00231,Martin Miller,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,175--3,Engine,Engine Oil Temperature Sensor:Voltage Above Normal,1.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,175--3,Engine,Engine Oil Temperature Sensor:Voltage Above Normal,1.0,ABC00548,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,247--9,Engine,SAE J1939 Data Link:Abnormal Update Rate,1.0,ABB00231,Martin Miller,,,Taxa de atualização anormal de algum módulo conectado à rede J1939. , Atualziação de todos os equipamentos da rede J1939 a fim de evitar conflitos de comunicação,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Medium,Diagnostic,261--13,Engine #2,Engine Timing Calibration:Out of Calibration,1.0,ABB00231,Martin Miller,,,Fiação dos sensores com polaridade errada; Sensor defeituoso; Detonação no motor.,Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação; calibração do timing do motor.,,10.0,,,Verde
Medium,Diagnostic,261--13,Engine #3,Engine Timing Calibration:Out of Calibration,1.0,ABB00234,Martin Miller,,,Fiação dos sensores com polaridade errada; Sensor defeituoso; Detonação no motor.,Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação; calibração do timing do motor.,,10.0,,,Verde
Medium,Diagnostic,262--4,Engine,5 Volt Sensor DC Power Supply:Voltage Below Normal,1.0,ABB00231,Martin Miller,,,Tensão de 5V: Voltagem abaixo do normal. A alimentação 5vdc é fornecida pelo ECM e sua alteração pode indicar o mau funcionamento do mesmo.,Verificação do ECM e da estabilidade da tensão 5vdc para sensores; Verificação do chicote de interligação em busca de possíveis curtos na alimentação de todos os sensores 5vdc do motor.,1.0,10.0,10000.0,3.3222591362126246,Verde
Medium,Diagnostic,263--4,Engine,Digital Sensor Power Supply (8V Or 12V):Voltage Below Normal,6.0,ABC00574,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,19.93355481727575,Verde
Medium,Diagnostic,268--2,Engine #2,"Programmed Parameter Fault:Erratic, Intermittent, or Incorrect",1.0,ABB00231,Martin Miller,,,"Falha em programação de equipamento terceiro, como painel ou controladora.",Diagnosticar origem da falha.,,10.0,,,Verde
Medium,Diagnostic,273--3,Engine,Turbocharger Outlet Pressure Sensor:Voltage Above Normal,1.0,ABB00231,Martin Miller,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Medium,Diagnostic,273--3,Engine #5,Turbocharger Outlet Pressure Sensor:Voltage Above Normal,1.0,ABB00232,Florianopolis,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Medium,Diagnostic,273--3,Engine,Turbocharger Outlet Pressure Sensor:Voltage Above Normal,1.0,ABC00546,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Medium,Diagnostic,273--3,Engine,Turbocharger Outlet Pressure Sensor:Voltage Above Normal,5.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,16.611295681063122,Verde
Low,Diagnostic,2738--3,Engine,Turbocharger #1 Compressor Inlet Pressure Sensor:Voltage Above Normal,1.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,2738--3,Engine,Turbocharger #1 Compressor Inlet Pressure Sensor:Voltage Above Normal,1.0,ABC00574,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,2738--3,Engine,Turbocharger #1 Compressor Inlet Pressure Sensor:Voltage Above Normal,2.0,ABC00576,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,2739--3,Engine,Turbocharger #2 Compressor Inlet Pressure Sensor:Voltage Above Normal,1.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,2739--3,Engine,Turbocharger #2 Compressor Inlet Pressure Sensor:Voltage Above Normal,1.0,ABC00574,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,2739--3,Engine,Turbocharger #2 Compressor Inlet Pressure Sensor:Voltage Above Normal,1.0,ABC00576,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Medium,Diagnostic,274--3,Engine,Atmospheric Pressure Sensor:Voltage Above Normal,1.0,ABB00231,Martin Miller,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Medium,Diagnostic,274--3,Engine,Atmospheric Pressure Sensor:Voltage Above Normal,1.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Diagnostic,275--3,Engine,Right Turbocharger Inlet Pressure Sensor:Voltage Above Normal,29.0,ABA00223,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,9.634460677792585,Verde
Low,Diagnostic,275--3,Engine,Right Turbocharger Inlet Pressure Sensor:Voltage Above Normal,1.0,ABA00243,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,275--3,Engine,Right Turbocharger Inlet Pressure Sensor:Voltage Above Normal,1.0,ABB00231,Martin Miller,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Medium,Diagnostic,275--3,Engine #5,Right Turbocharger Inlet Pressure Sensor:Voltage Above Normal,1.0,ABB00232,Florianopolis,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Diagnostic,275--4,Engine,Right Turbocharger Inlet Pressure Sensor:Voltage Below Normal,32.0,ABA00223,Lewis Hamilton,,,,,,5.6234,,,Verde
Low,Diagnostic,276--3,Engine,Left Turbocharger Inlet Pressure Sensor:Voltage Above Normal,1.0,ABA00223,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,276--3,Engine,Left Turbocharger Inlet Pressure Sensor:Voltage Above Normal,1.0,ABA00243,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,276--3,Engine,Left Turbocharger Inlet Pressure Sensor:Voltage Above Normal,1.0,ABB00231,Martin Miller,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
