Severity,Type,Code,Source,Description,Count,Asset,Site,IsEv,CodeB,Causas,Recomendações,Peso,PesoSev,PesoReal,IC,Status de confiabilidade
Medium,Diagnostic,276--3,Engine #5,Left Turbocharger Inlet Pressure Sensor:Voltage Above Normal,1.0,ABB00232,Florianopolis,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Medium,Diagnostic,279--3,Engine #5,Aftercooler Coolant Temperature Sensor (Front):Voltage Above Normal,1.0,ABB00232,Florianopolis,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Diagnostic,279--3,Engine,Aftercooler Coolant Temperature Sensor (Front):Voltage Above Normal,1.0,ABC00546,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,279--3,Engine,Aftercooler Coolant Temperature Sensor (Front):Voltage Above Normal,1.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,279--4,Engine,Aftercooler Coolant Temperature Sensor (Front):Voltage Below Normal,1.0,ABB00231,Martin Miller,,,,,,5.6234,,,Verde
Low,Diagnostic,289--2,Engine,"Fuel Pressure Sensor - Before Fuel Filter:Erratic, Intermittent, or Incorrect",10.0,ABA00247,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,3.322227819928477,Verde
Low,Diagnostic,289--2,Engine,"Fuel Pressure Sensor - Before Fuel Filter:Erratic, Intermittent, or Incorrect",2.0,ABC00574,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,289--2,Engine,"Fuel Pressure Sensor - Before Fuel Filter:Erratic, Intermittent, or Incorrect",1.0,ABC00575,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,289--2,Engine,"Fuel Pressure Sensor - Before Fuel Filter:Erratic, Intermittent, or Incorrect",1.0,ABC00576,Ilhas Maldivas,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,289--3,Engine,Fuel Pressure Sensor - Before Fuel Filter:Voltage Above Normal,1.0,ABA00133,Lewis Hamilton,,,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,289--3,Engine,Fuel Pressure Sensor - Before Fuel Filter:Voltage Above Normal,1.0,ABA00247,Lewis Hamilton,,,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Medium,Diagnostic,289--3,Engine #3,Fuel Pressure Sensor - Before Fuel Filter:Voltage Above Normal,1.0,ABB00230,Marica,,,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Medium,Diagnostic,289--3,Engine #5,Fuel Pressure Sensor - Before Fuel Filter:Voltage Above Normal,1.0,ABB00232,Florianopolis,,,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Diagnostic,289--3,Engine,Fuel Pressure Sensor - Before Fuel Filter:Voltage Above Normal,1.0,ABC00547,Hendrix,,,"Sensor defeituoso, chicote defeituoso, sensor desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Medium,Diagnostic,3--5,Engine #3,Cylinder #3 Injector:Current Below Normal,6.0,ABB00230,Marica,,,,,,10.0,,,Verde
Low,Diagnostic,336--2,Engine,"Engine Control Switch:Erratic, Intermittent, or Incorrect",12.0,ABA00247,Lewis Hamilton,,,As duas entradas do ECS ,O Módulo de Controle Eletrônico ,1.0,5.6234,999.9905737984717,3.9866733839141726,Verde
Medium,Diagnostic,336--2,Engine #3,"Engine Control Switch:Erratic, Intermittent, or Incorrect",1.0,ABB00230,Marica,,,As duas entradas do ECS ,O Módulo de Controle Eletrônico ,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Diagnostic,336--2,Engine,"Engine Control Switch:Erratic, Intermittent, or Incorrect",10.0,ABC00548,Hendrix,,,As duas entradas do ECS ,O Módulo de Controle Eletrônico ,1.0,5.6234,999.9905737984717,3.322227819928477,Verde
Low,Diagnostic,336--2,Engine,"Engine Control Switch:Erratic, Intermittent, or Incorrect",1.0,ABC00576,Ilhas Maldivas,,,As duas entradas do ECS ,O Módulo de Controle Eletrônico ,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Medium,Diagnostic,337--2,Engine #5,"Remote Emergency Stop Switch:Erratic, Intermittent, or Incorrect",1.0,ABB00231,Martin Miller,,,"O ECM do motor recebe dois sinais de entrada a partir do mesmo interruptor de parada de emergência. Esses sinais permitem o ECM determinar o status do interruptor de parada de emergência. O ECM irá desligar o motor se ambos os sinais estiverem ""em aberto"". Se durante a partida do motor, forem detectados dois sinais diferentes oriundo do interruptor, o ECM entenderá que um dos sinais está incorreto e o motor irá partir normalmente. E o alerta será emitido.",Verificar o correto funcionamento das botoeiras de parada.,1.0,10.0,10000.0,3.3222591362126246,Verde
Medium,Diagnostic,342--8,Engine #3,"Secondary Engine Speed Sensor:Abnormal Frequency, Pulse Width, or Period",1.0,ABB00230,Marica,,,Quando a velocidade do motor é maior que zero rpm e o padrão do anel de temporização está incorreto por cinco segundos.,"Estabelecer comunicação com o ECM principal. Se a comunicação com o ECM primário não puder ser estabelecida, verifique se a te nsão está presente no ECM principal. Verifique se o fio que transporta o sinal de pulso do ECM principal para o ECM secundário não tem uma abertura ou se o fio não está em curto.",1.0,10.0,10000.0,3.3222591362126246,Verde
Medium,Diagnostic,342--8,Engine #5,"Secondary Engine Speed Sensor:Abnormal Frequency, Pulse Width, or Period",1.0,ABB00232,Florianopolis,,,Quando a velocidade do motor é maior que zero rpm e o padrão do anel de temporização está incorreto por cinco segundos.,"Estabelecer comunicação com o ECM principal. Se a comunicação com o ECM primário não puder ser estabelecida, verifique se a te nsão está presente no ECM principal. Verifique se o fio que transporta o sinal de pulso do ECM principal para o ECM secundário não tem uma abertura ou se o fio não está em curto.",1.0,10.0,10000.0,3.3222591362126246,Verde
High,Event (J1939),3671--0,Not Available,Crank Attempt Count on Present Start Attempt:High - most severe (3),1.0,ABB00233,Marica,,,"A quantidade tentativas de partida durante a ignição atual foram excedidas. Este limite é configurado ECM, definido por classificadora.",A quantidade tentativas de partida durante a ignição atual foram excedidas.,1.0,17.7828,100000.13270386367,33.2226354497886,Verde
Medium,Diagnostic,444--6,Engine #3,Starter Motor Relay:Current Above Normal,2.0,ABB00230,Marica,,,Curto circuito no relê de do motor de arranque.,"Verificar cabos e conectores, Checar operação e tensão.",1.0,10.0,10000.0,6.644518272425249,Verde
Low,Event (J1939),52--3,Not Available,Engine Intercooler Temperature:Voltage Above Normal,1.0,ABB00233,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso ou desconectado.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,542--2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",8.0,ABA00223,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,2.657782255942782,Verde
Low,Diagnostic,542--2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",2.0,ABA00243,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,542--2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",2.0,ABA00247,Lewis Hamilton,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.6644455639856955,Verde
Low,Diagnostic,542--2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",3.0,ABC00546,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.9966683459785431,Verde
Low,Diagnostic,542--2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",4.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,1.328891127971391,Verde
Low,Diagnostic,542--2,Engine,"Engine Oil Pressure Sensor - Before Oil Filter:Erratic, Intermittent, or Incorrect",3.0,ABC00548,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.9966683459785431,Verde
Medium,Diagnostic,542--3,Engine #3,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Above Normal,1.0,ABB00230,Marica,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Diagnostic,542--3,Engine,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Above Normal,1.0,ABB00231,Martin Miller,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Medium,Diagnostic,542--3,Engine #5,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Above Normal,1.0,ABB00232,Florianopolis,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Medium,Diagnostic,542--3,Engine #3,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Above Normal,1.0,ABB00234,Martin Miller,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Diagnostic,542--3,Engine,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Above Normal,1.0,ABC00547,Hendrix,,,"Sensor defeituoso, cabo de interligação defeituoso.",Checagem do sensor e cabos de interligação; Troca do sensor e cabos de interligação.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,542--4,Engine,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Below Normal,4.0,ABA00223,Lewis Hamilton,,,,,,5.6234,,,Verde
Low,Diagnostic,542--4,Engine,Engine Oil Pressure Sensor - Before Oil Filter:Voltage Below Normal,2.0,ABA00243,Lewis Hamilton,,,,,,5.6234,,,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,25.0,ABA00133,Lewis Hamilton,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,1.0,ABA00223,Lewis Hamilton,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,9.0,ABA00247,Lewis Hamilton,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,25.0,ABB00230,Marica,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,74.0,ABB00231,Martin Miller,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,86.0,ABB00232,Florianopolis,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,28.0,ABB00233,Marica,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,46.0,ABB00234,Martin Miller,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,100.0,ABB00235,Florianopolis,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,75.0,ABB00239,SS Moretti,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,52.0,ABB00240,SS Moretti,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,5.0,ABC00546,Hendrix,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,7.0,ABC00547,Hendrix,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,6.0,ABC00548,Hendrix,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,16.0,ABC00574,Ilhas Maldivas,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,13.0,ABC00575,Ilhas Maldivas,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,590--9,Communication Gateway #1,Engine Control Module:Abnormal Update Rate,4.0,ABC00576,Ilhas Maldivas,,,Falha de comunicação do ECM principal com outros dispositivos do motor. Módulo de controle do motor ,Verificação do Módulo de controle do motor e verificação dos chicotes e conectores que interligam os sensores do motor com o ECM.,0.0,10.0,0.0,0.0,Verde
Medium,Diagnostic,6--5,Engine,Cylinder #6 Injector:Current Below Normal,1.0,ABC00576,Ilhas Maldivas,,,,,,10.0,,,Verde
Medium,Diagnostic,6--6,Engine,Cylinder #6 Injector:Current Above Normal,1.0,ABC00576,Ilhas Maldivas,,,,,,10.0,,,Verde
Low,Event (J1939),620--4,Communication Gateway #1,5 Volts DC Supply:Voltage Below Normal,1.0,ABB00233,Marica,,,,,,5.6234,,,Verde
Low,Event (J1939),620--4,Not Available,5 Volts DC Supply:Voltage Below Normal,4.0,ABB00233,Marica,,,,,,5.6234,,,Verde
Medium,Diagnostic,7--5,Engine #3,Cylinder #7 Injector:Current Below Normal,44.0,ABB00230,Marica,,,,,,10.0,,,Verde
Medium,Diagnostic,7--5,Engine,Cylinder #7 Injector:Current Below Normal,1.0,ABC00576,Ilhas Maldivas,,,,,,10.0,,,Verde
Medium,Diagnostic,8--6,Engine,Cylinder #8 Injector:Current Above Normal,1.0,ABC00576,Ilhas Maldivas,,,,,,10.0,,,Verde
Low,Diagnostic,827--8,Engine,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",1.0,ABB00231,Martin Miller,,,Instabilidade no Sensor de temperatura de exaustão - Bancada da Esquerda.,Monitorar o sinal de temperatura de exaustão recebido pelo ECM do motor através do CAT ET.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,827--8,Engine,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",1.0,ABC00548,Hendrix,,,Instabilidade no Sensor de temperatura de exaustão - Bancada da Esquerda.,Monitorar o sinal de temperatura de exaustão recebido pelo ECM do motor através do CAT ET.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,827--8,Engine,"Left Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",8.0,ABC00574,Ilhas Maldivas,,,Instabilidade no Sensor de temperatura de exaustão - Bancada da Esquerda.,Monitorar o sinal de temperatura de exaustão recebido pelo ECM do motor através do CAT ET.,1.0,5.6234,999.9905737984717,2.657782255942782,Verde
Low,Diagnostic,828--8,Engine,"Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",1.0,ABB00231,Martin Miller,,,Instabilidade no Sensor de temperatura de exaustão - Bancada da direita.,Monitorar o sinal de temperatura de exaustão recebido pelo ECM do motor através do CAT ET.,1.0,5.6234,999.9905737984717,0.33222278199284777,Verde
Low,Diagnostic,828--8,Engine,"Right Exhaust Temperature Sensor:Abnormal Frequency, Pulse Width, or Period",8.0,ABC00574,Ilhas Maldivas,,,Instabilidade no Sensor de temperatura de exaustão - Bancada da direita.,Monitorar o sinal de temperatura de exaustão recebido pelo ECM do motor através do CAT ET.,1.0,5.6234,999.9905737984717,2.657782255942782,Verde
Medium,Diagnostic,9--5,Engine,Cylinder #9 Injector:Current Below Normal,1.0,ABC00576,Ilhas Maldivas,,,,,,10.0,,,Verde
Medium,Diagnostic,91--13,Engine #3,Throttle Position Sensor:Out of Calibration,1.0,ABB00230,Marica,,,Falta de calibração sensor de posição do acelerador.,A calibração do sensor de posição do acelerador requer o uso do Cat ET.,1.0,10.0,10000.0,3.3222591362126246,Verde
Medium,Diagnostic,91--13,Engine #5,Throttle Position Sensor:Out of Calibration,1.0,ABB00231,Martin Miller,,,Falta de calibração sensor de posição do acelerador.,A calibração do sensor de posição do acelerador requer o uso do Cat ET.,1.0,10.0,10000.0,3.3222591362126246,Verde
Medium,Diagnostic,91--13,Engine #5,Throttle Position Sensor:Out of Calibration,1.0,ABB00232,Florianopolis,,,Falta de calibração sensor de posição do acelerador.,A calibração do sensor de posição do acelerador requer o uso do Cat ET.,1.0,10.0,10000.0,3.3222591362126246,Verde
Low,Event (J1939),91--13,Not Available,Accelerator Pedal Position #1:Out of Calibration,7.0,ABB00233,Marica,,,Falta de calibração sensor de posição do acelerador.,A calibração do sensor de posição do acelerador requer o uso do Cat ET.,1.0,5.6234,999.9905737984717,2.325559473949934,Verde
Medium,Diagnostic,91--8,Engine #3,"Throttle Position Sensor:Abnormal Frequency, Pulse Width, or Period",2.0,ABB00230,Marica,,,Instabilidade no sinal de posição do acelerador.,Monitorar o sinal de posição do acelerador recebido pelo ECM do motor através do CAT ET. Verificar a estabilidade do sinal quando o acelerador está parado e sua calibração,1.0,10.0,10000.0,6.644518272425249,Verde
Medium,Diagnostic,91--8,Engine,"Throttle Position Sensor:Abnormal Frequency, Pulse Width, or Period",1.0,ABB00231,Martin Miller,,,Instabilidade no sinal de posição do acelerador.,Monitorar o sinal de posição do acelerador recebido pelo ECM do motor através do CAT ET. Verificar a estabilidade do sinal quando o acelerador está parado e sua calibração,1.0,10.0,10000.0,3.3222591362126246,Verde
Medium,Diagnostic,91--8,Engine #5,"Throttle Position Sensor:Abnormal Frequency, Pulse Width, or Period",1.0,ABB00231,Martin Miller,,,Instabilidade no sinal de posição do acelerador.,Monitorar o sinal de posição do acelerador recebido pelo ECM do motor através do CAT ET. Verificar a estabilidade do sinal quando o acelerador está parado e sua calibração,1.0,10.0,10000.0,3.3222591362126246,Verde
